"","","s0"
"1",46843,0.0211524384166706
"2",51897,-0.00632476256059376
"3",47147,3.82506828484805
"4",54521,0.129087657460621
"5",51967,-0.0142552337352125
"6",50691,-0.00159039418389699
"7",61810,0.0612593491206533
"8",61721,10.0185748326879
"9",51960,-0.0651140411442062
"10",46034,-0.0443376285612316
"11",61694,0.134638726656031
"12",53819,-0.145304550205842
"13",48871,-0.00245974625747594
"14",58650,0.0976331727416317
"15",24530,10.0270072039455
"16",48777,0.000174249978862931
"17",60617,0.0855732769524823
"18",53816,0.100396514035751
"19",48837,0.000174249978862931
"20",58611,0.134638726656031
"21",51686,-0.0775544664593656
"22",50425,-0.086030479265191
"23",56904,-0.0801778109989416
"24",45570,-0.0437473607938622
"25",53950,0.213789166727951
"26",56522,3.59466140450632
"27",45277,-0.0633595326393242
"28",53020,0.103898953801551
"29",45164,5.35095994781914
"30",63385,10.3047702211725
"31",47081,-0.262004477950028
"32",62071,0.0881418942385975
"33",47500,-0.0541352763953807
"34",50818,1.89235031370877
"35",56859,0.0743516844897975
"36",53971,0.0146887152706886
"37",62943,0.105421748914488
"38",49400,0.199285466938957
"39",44539,0.132185468828666
"40",52722,3.85538591811995
"41",52036,-0.00159039418389699
"42",52308,4.82189623493213
"43",51578,-0.0516430286270812
"44",60772,0.0415525707363098
"45",52504,0.0708582361428847
"46",58583,0.0855732769524823
"47",50395,3.77455660168775
"48",7517,-0.638244226793596
"49",7713,-0.605038448550196
"50",5973,-0.236150707549593
"51",4547,-0.0775637796017658
"52",8953,-0.500306158202745
"53",7650,4.27837556392095
"54",10964,0.235551020402504
"55",7281,18.9770435391847
"56",12372,0.0193749792578472
"57",13191,10.3992749478646
"58",12824,-0.456539257418913
"59",12891,10.3342052752234
"60",12239,-0.0488283473853212
"61",13018,0.00494719857169168
"62",15124,9.73266929604989
"63",15757,4.70314461454389
"64",11555,0.0991000036327109
"65",12407,-0.481578683012757
"66",14335,0.0347917456011136
"67",16218,0.250200489877425
"68",16046,-0.143555405947939
"69",17397,0.165012735145978
"70",15428,-0.198467783841449
"71",15727,9.85951350345859
"72",15644,10.2719341530715
"73",15561,-0.198467783841449
"74",15880,12.2122121689935
"75",10510,-0.0520429634819078
"76",10823,0.163405560351589
"77",9569,-0.658146836239065
"78",12219,-0.247029058803934
"79",20890,-0.163418969520696
"80",19418,0.385170245093387
"81",23146,-0.28659010206157
"82",23242,-0.0470986734786612
"83",23317,-0.160912643417702
"84",18377,-0.145548907664609
"85",16875,0.151761649585049
"86",17651,-0.0955334032517177
"87",10234,-0.068441783703331
"88",17621,-0.0562679532732295
"89",16313,0.096402067391435
"90",14094,8.91318653364198
"91",16402,0.0867445864205421
"92",9278,4.96939773692166
"93",12700,4.8775266694503
"94",10770,4.71913472346436
"95",10967,-0.103290076334744
"96",14956,-0.0954958910979254
"97",13526,-0.228460648752613
"98",16555,-0.232935235222179
"99",12036,-0.390668371281171
"100",15518,-0.272880592522102
"101",15289,-0.133600065994001
"102",1026,10.8140081772992
"103",20146,11.6781096909596
"104",19507,0.124809766634442
"105",19532,11.9262448912797
"106",20728,0.0535994011390264
"107",18698,4.65052943727571
"108",20975,0.00193691420525824
"109",19087,0.0696830470201251
"110",20270,0.0107392559185589
"111",19676,-0.30628208858435
"112",20747,3.26774047305594
"113",20338,-0.171011830477386
"114",19942,-0.0976018266340369
"115",19733,0.683603485278968
"116",21926,0.0827471225905471
"117",22586,4.5214717734423
"118",22866,4.63844581988553
"119",22765,0.0517587099818413
"120",22424,-0.097242093806735
"121",21709,-0.131907046457062
"122",21876,15.5074379837725
"123",17433,4.31748765444429
"124",17967,0.0141622217208294
"125",8870,12.5373336465665
"126",7490,0.688966790380442
"127",9022,-0.407736949223389
"128",18037,-0.173128859924642
"129",11471,-0.140354004575735
"130",15337,10.1327628003666
