"","x"
"536",3996
"537",20368
"538",27184
"539",3887
"540",4197
"541",2416
"542",1
"543",16020
"544",1773
"545",13816
"546",22277
"547",33892
"548",18516
"549",10621
"550",11083
"551",13764
"552",11786
"553",24015
"554",5840
"555",6025
"556",1158
"557",4239
"558",9206
"559",732
"560",6829
"561",6799
"562",4543
"563",1840
"564",1526
"565",7882
"566",10387
"567",4572
"568",470
"569",7982
"570",7290
"571",1014
"572",9421
"573",6108
"574",1662
"575",5465
"576",159
"577",2274
"578",1275
"579",621
"580",11863
"581",9538
"582",8225
"583",18988
"584",2303
"585",13563
"586",13112
"587",20563
"588",3893
"589",7
"590",2
"591",17956
"592",12721
"593",1402
"594",5387
"595",2313
"596",3171
"597",12222
"598",2314
"599",4389
"600",3583
"601",1261
"602",2529
"603",12502
"604",1460
"605",2739
"606",7257
"607",25179
"608",6389
"609",5716
"610",2711
"611",2710
"612",1528
"613",7690
"614",7272
"615",1277
"616",11549
"617",4486
"618",6861
"619",9123
"620",3227
"621",197
"622",27064
"623",69384
"624",65827
"625",60604
"626",53195
"627",66772
"628",54390
"629",58349
"630",59851
"631",56682
"632",59690
"633",66184
"634",96573
"635",72502
"636",69922
"637",72577
"638",74163
"639",68858
"640",82020
"641",91166
"642",83181
"643",97592
"644",96598
"645",97318
"646",97568
"647",98329
"648",68660
"649",97217
"650",91362
"651",82892
"652",98869
"653",91641
"654",92945
"655",82680
"656",93297
"657",98737
"658",84155
"659",86659
"660",77528
"661",78016
"662",91446
"663",87407
"664",80028
"665",91760
"666",79552
"667",68688
"668",93283
"669",91647
"670",87544
"671",82917
"672",80946
"673",84010
"674",82537
"675",88404
"676",98174
"677",68831
"678",97430
"679",82570
"680",83143
"681",93714
"682",90968
"683",94784
"684",68880
"685",68638
"686",79320
"687",80897
"688",89507
"689",80898
"690",97048
"691",68773
"692",91205
"693",82418
"694",76130
"695",91484
"696",83237
"697",88855
"698",81471
"699",68720
"700",87648
"701",81034
"702",91589
"703",68800
"704",82412
"705",93118
"706",78995
"707",82228
"708",85827
"709",87625
"710",86976
"711",90524
"712",68699
"713",90061
"714",68680
"715",89619
"716",86005
"717",78348
"718",76737
"719",86889
"720",98549
"721",85317
"722",75208
"723",77690
"724",75721
"725",77691
"726",63964
"727",63790
"728",64375
"729",63128
"730",93325
"731",83796
"732",91214
"733",69876
"734",94694
"735",85653
"736",92693
"737",82163
"738",88824
"739",91509
"740",92106
"741",93743
"742",88658
"743",87772
"744",91105
"745",96943
"746",94028
"747",75766
"748",83436
"749",92239
"750",87979
"751",88581
"752",91345
"753",92694
"754",91024
