"","","s0",""
"1",46843,5.90672525108586,0
"2",51897,7.23696344624417,0
"3",47147,7.42274231881386,5
"4",54521,9.5370565928868,0
"5",51967,7.23120883285486,0
"6",50691,5.2758238918838,0
"7",61810,9.51675317875923,0
"8",61721,9.53919722539447,10
"9",51960,5.2758238918838,0
"10",46034,5.68303653151378,0
"11",61694,9.53919722539447,0
"12",53819,21.4126621804633,0
"13",48871,5.90542094235083,0
"14",58650,14.0472039550226,0
"15",24530,13.5107657531154,10
"16",48777,5.68000597372897,0
"17",60617,9.5766297222626,0
"18",53816,14.0438747125337,0
"19",48837,5.68000597372897,0
"20",58611,9.53919722539447,0
"21",51686,5.73477443313748,0
"22",50425,5.73477443313748,0
"23",56904,9.57636525300558,0
"24",45570,5.27967422822169,0
"25",53950,17.2979228661843,0
"26",56522,9.50610227117182,5
"27",45277,7.60127734757741,0
"28",53020,17.2963317540035,0
"29",45164,4.25051867246481,5
"30",63385,13.5236535994531,10
"31",47081,7.84579949828079,0
"32",62071,9.50824290367949,0
"33",47500,5.681310282464,0
"34",50818,2.40630948325315,2
"35",56859,23.4574172466615,0
"36",53971,17.2979228661843,0
"37",62943,9.50824290367949,0
"38",49400,11.3052555964143,0
"39",44539,9.20696531256471,0
"40",52722,7.22119978835571,5
"41",52036,5.2758238918838,0
"42",52308,5.39528482349419,5
"43",51578,7.55266657603376,0
"44",60772,9.57850588551325,0
"45",52504,7.42061823152575,0
"46",58583,9.5766297222626,0
"47",50395,7.59742701123952,5
"48",7517,22.4760029454512,0
"49",7713,15.6023531359913,0
"50",5973,9.59893027206736,0
"51",4547,6.00166797048485,0
"52",8953,6.98167959190891,0
"53",7650,6.5588509318577,5
"54",10964,6.43491188003877,0
"55",7281,10.4763637295277,20
"56",12372,8.13990266602315,0
"57",13191,11.609195955302,10
"58",12824,10.0363320036937,0
"59",12891,11.682890433696,10
"60",12239,9.91510085021241,0
"61",13018,5.73569396654873,0
"62",15124,9.94150782771736,10
"63",15757,6.03232191442068,5
"64",11555,4.13986519928616,0
"65",12407,13.9261577766171,0
"66",14335,6.08601112829409,0
"67",16218,6.23123690664121,0
"68",16046,9.86896026203627,0
"69",17397,6.19848485555496,0
"70",15428,9.8730777218104,0
"71",15727,9.86456744673066,10
"72",15644,8.6398991094918,10
"73",15561,9.8730777218104,0
"74",15880,17.7734380360637,10
"75",10510,10.2675575529549,0
"76",10823,9.79276712286967,0
"77",9569,18.2872817543952,0
"78",12219,14.2520124279812,0
"79",20890,13.7467287941426,0
"80",19418,4.52819966813704,0
"81",23146,9.77380112167692,0
"82",23242,9.72835958337069,0
"83",23317,9.69740526165571,0
"84",18377,6.00922856067844,0
"85",16875,6.21153280225392,0
"86",17651,6.02216208162074,0
"87",10234,6.5052763942441,0
"88",17621,5.96657384365915,2
"89",16313,5.60245963472725,0
"90",14094,10.8564007529029,10
"91",16402,5.90225805365597,0
"92",9278,5.2708907344178,5
"93",12700,5.50928139679282,5
"94",10770,5.71387939117641,5
"95",10967,5.00232066766914,0
"96",14956,9.12831730441269,0
"97",13526,9.83928614244326,0
"98",16555,12.2159866361093,0
"99",12036,17.7853814918033,0
"100",15518,21.7723159660033,0
"101",15289,23.7716130554144,0
"102",1026,16.9170806991288,10
"103",20146,6.15343922907155,10
"104",19507,5.89904339343216,0
"105",19532,5.70337292824971,10
"106",20728,5.90905288768876,0
"107",18698,6.16620374828473,5
"108",20975,5.50569058439667,0
"109",19087,5.53103300532561,0
"110",20270,5.98361249841128,0
"111",19676,9.75360683236051,0
"112",20747,9.73463545959959,5
"113",20338,9.75576918842484,0
"114",19942,9.78456115407549,0
"115",19733,49.9081722383414,0
"116",21926,6.11572587394737,0
"117",22586,6.10953362537626,5
"118",22866,5.93970689471599,5
"119",22765,5.4807563534623,0
"120",22424,9.71821150374497,0
"121",21709,15.2761571046313,0
"122",21876,12.7137776903665,15
"123",17433,7.97844784249217,5
"124",17967,5.30857886631082,0
"125",8870,5.28003982896795,10
"126",7490,11.7550422176114,0
"127",9022,9.03063550165549,0
"128",18037,9.81663402770715,0
"129",11471,8.98737392353202,0
"130",15337,9.85697262488759,10
"131",11444,13.7581756898688,0
"132",5290,28.0321600275201,25
"133",5552,19.4186710904293,0
"134",19023,5.14802552801804,0
"135",10409,2.67841369404105,0
"136",17742,5.96009713408135,0
"137",25240,5.84761641969608,0
"138",62315,9.53919722539447,0
"139",60514,30.7706813659388,35
"140",24421,9.67919929392381,0
"141",24675,5.4502544187209,0
"142",25128,6.07303138831794,8
"143",24803,13.6912926284668,0
"144",24507,6.07903169063485,0
"145",25072,5.90320465765767,0
"146",19317,5.29314354818143,0
"147",7092,4.75880259088872,0
"148",2619,5.30900021225661,0
"149",18802,5.25340130839888,0
"150",24166,14.2241956856623,0
"151",23920,15.645230417874,0
"152",24130,6.63335115583136,0
"153",23359,17.2535180327941,0
"154",23739,6.08506703103022,0
"155",24006,5.85965206240836,5
"156",23712,5.45628975911626,0
"157",23665,5.91524030036995,0
"158",19713,5.52466195715759,0
"159",9617,6.75596528763281,0
"160",22540,5.4807563534623,0
"161",22843,6.10953362537626,0
"162",22583,8.5025789837032,0
"163",21719,5.94589914328711,0
"164",21768,5.48694860203342,0
"165",22437,5.8841186567544,0
"166",22873,5.93970689471599,0
"167",23121,5.87795556793234,0
"168",22779,6.10953362537626,8
"169",22293,5.6913437527099,5
"170",22558,9.77996421049898,0
"171",22054,9.59450941757897,10
"172",22284,9.77996421049898,0
"173",23129,22.3771635748507,0
"174",21871,12.5115939696254,0
"175",22736,18.8468640489078,0
"176",19264,6.15981027723957,0
"177",19591,5.52466195715759,0
"178",20100,5.27892294442807,5
"179",18866,5.53742647637078,0
"180",10797,5.33394989625327,0
"181",5148,8.25934519509793,20
"182",6811,4.91347030977138,0
"183",18206,5.56898973539037,0
"184",17611,4.89042659865402,0
"185",4597,5.47582164061711,5
"186",21055,5.90905288768876,0
"187",9111,5.95269347857349,0
"188",997,5.64490898946117,5
"189",19632,5.92802426044969,0
"190",5955,5.70373272290096,5
"191",3697,9.74743289612469,10
"192",18182,9.78567970599217,0
"193",16017,9.89316618581533,0
"194",21082,8.69911902519627,0
"195",17538,9.79215641556997,10
"196",13883,9.50588727076522,0
"197",20034,9.78456115407549,0
"198",18658,9.77278657108504,5
"199",7803,16.0248102959841,20
"200",17373,9.81367757006428,0
"201",18838,9.83663433340745,0
"202",20659,9.80489844143334,0
"203",3689,14.2558884377197,25
"204",9099,7.97296572983727,0
"205",19687,12.1302666613141,0
"206",7873,12.2027820975476,0
"207",11365,12.9513853119576,10
"208",19891,13.0734632776642,0
"209",22370,10.1144927014838,0
"210",19452,11.4345062006446,10
"211",19107,9.79093220224351,0
"212",5939,26.853184938043,0
"213",17176,22.3059176441402,0
"214",18796,22.5593566436146,0
"215",15342,22.3587846853279,0
"216",13956,15.7819096975643,10
"217",27979,6.02647645320617,0
"218",44855,5.27967422822169,0
"219",28066,9.62664405649513,0
"220",27931,9.61279485650762,0
"221",21273,5.49941664074154,0
"222",22655,5.8841186567544,0
"223",19278,5.69703466928875,0
"224",20649,4.43428210683288,0
"225",17699,5.55673483078925,0
"226",13987,7.8959136972767,0
"227",22395,5.8841186567544,0
"228",20483,5.5474687271036,0
"229",20444,5.97726457939587,0
"230",1089,6.43711199385128,0
"231",23026,5.47459326464024,0
"232",20559,9.80932168224492,0
"233",11881,9.95339435053437,0
"234",3013,10.0155913263944,15
"235",19344,9.65268027328301,0
"236",21243,9.72836151594446,0
"237",19556,17.7922179235486,0
"238",20536,17.7795459548499,0
"239",20089,8.75051591909453,0
"240",22062,6.11572587394737,0
"241",15465,9.85853921551437,0
"242",4764,7.66073621002403,10
"243",14863,16.7871187483017,25
"244",12777,5.78130593125093,5
"245",23927,8.50038821936121,0
"246",24541,6.07903169063485,0
"247",24114,6.61008977627387,5
"248",25254,5.90320465765767,0
"249",23860,5.45628975911626,0
"250",23972,5.85965206240836,0
"251",24390,5.85361672201299,0
"252",24326,13.6186838403457,0
"253",26602,6.04360711530259,0
"254",26669,5.81819214668073,0
"255",27211,5.40907211596495,0
"256",25967,5.81819214668073,0
"257",27100,5.81243441925705,0
"258",26422,9.64377471859156,0
"259",25669,9.65808749795426,0
"260",26374,9.64377471859156,0
"261",17880,5.62738244683422,10
"262",5204,8.31366373423963,0
"263",22830,5.64268005523246,10
"264",3109,9.32505643810407,5
"265",14565,10.6298131167934,0
"266",926,14.6056693091317,0
"267",4492,9.78516200161903,10
"268",17340,9.15625752182551,0
"269",22270,9.80522021600871,0
"270",17029,9.81170040554288,0
"271",19517,9.76211710744025,0
"272",21018,13.5662019187912,0
"273",10402,9.01944406430525,0
"274",30176,9.63548846910638,0
"275",56433,9.50610227117182,0
"276",29626,5.64808656110017,0
"277",29669,9.60997559591011,0
"278",29151,9.64092991762509,0
"279",32091,9.57690572999558,0
"280",29811,18.7471384161527,0
"281",30289,9.6045341473914,0
"282",23963,5.96578631941778,5
"283",7823,6.39084445361694,5
"284",24273,15.7465694772848,0
"285",32119,8.88109389974131,0
"286",28354,9.62103330418866,0
"287",28791,5.3865313911372,5
"288",28361,5.85103897023943,0
"289",28652,6.01530866305116,0
"290",28533,8.48818494088675,0
"291",23522,15.5886734758013,0
"292",20286,5.10077309045103,0
"293",19460,9.75997788052853,0
"294",26893,5.81819214668073,0
"295",26226,5.81819214668073,5
"296",25933,5.81819214668073,0
"297",25861,12.4989141888078,0
"298",26191,13.4753411777832,10
"299",27193,23.5893319666575,0
"300",27923,17.6709171444832,20
"301",22025,6.24096631813201,0
"302",7535,7.24355408173246,0
"303",20622,8.42203681027539,10
"304",16085,8.2783866882061,0
"305",23526,5.92130936889245,0
"306",20985,5.21479725411976,0
"307",24566,5.85361672201299,0
"308",21074,5.4909216813436,1
"309",21406,5.66680522351638,0
"310",21842,6.11572587394737,0
"311",5621,8.09673850660245,0
"312",23096,8.54677219974329,0
"313",20475,6.14709131005613,0
"314",7045,8.11408384426467,0
"315",22384,5.64231650125973,0
"316",22451,6.10953362537626,0
"317",1374,4.77439326523635,0
"318",2470,6.79224531645783,0
"319",21788,5.71064933569161,0
"320",20577,5.49140539884466,0
"321",22640,6.10953362537626,0
"322",23251,5.48071529105391,0
"323",7164,6.30038796892992,0
"324",6012,7.22553350260893,0
"325",21628,5.89031090532552,0
"326",22789,14.2377528312126,0
"327",20797,5.50569058439667,0
"328",13378,5.76704795492202,0
"329",1410,7.5421606205262,10
"330",14257,7.99473186215715,0
"331",22688,7.24326143783709,0
"332",24588,10.7542627822256,0
"333",16745,10.1418261610324,0
"334",18252,9.07955806797597,0
"335",6711,11.4144831171978,20
"336",18689,6.62211554789767,0
"337",24892,9.67919929392381,0
"338",24288,9.67919929392381,0
"339",24239,9.71618895603416,0
